titled,descriptiond,pubdated,linkd
"Afghanistan: Biden was advised to keep 2,500 troops, say generals","Top US generals recommended keeping 2,500 troops, but the president said he did not recall this advice.","Tue, 28 Sep 2021 21:50:49 GMT",https://www.bbc.co.uk/news/world-us-canada-58719834?at_medium=RSS&at_campaign=KARANGA
Capital Gazette shooting: 'No one could ever kill this paper',Relatives of five journalists killed in 2018 attack speak out as shooter is jailed for life.,"Tue, 28 Sep 2021 19:13:42 GMT",https://www.bbc.co.uk/news/world-us-canada-58725441?at_medium=RSS&at_campaign=KARANGA
Wayne Jenkins from behind bars: 'I sold drugs as a dirty cop',He led a rogue police force who were jailed for a long list of crimes. Now in a BBC exclusive he explains why.,"Tue, 28 Sep 2021 18:53:53 GMT",https://www.bbc.co.uk/news/world-us-canada-58710164?at_medium=RSS&at_campaign=KARANGA
Obamas break ground on controversial Chicago presidential centre,"After years of dispute and legal rows, former President Obama's major legacy project is underway.","Wed, 29 Sep 2021 00:37:40 GMT",https://www.bbc.co.uk/news/world-us-canada-58729721?at_medium=RSS&at_campaign=KARANGA
R. Kelly found guilty in sex trafficking trial,"After decades of allegations, the singer is convicted of running a scheme to abuse women and children.","Tue, 28 Sep 2021 10:47:33 GMT",https://www.bbc.co.uk/news/entertainment-arts-58714203?at_medium=RSS&at_campaign=KARANGA
Most trapped Canadian miners rescued after two days,Thirty-five miners are rescued after climbing a distance of over 1km on a series of ladders.,"Tue, 28 Sep 2021 21:30:08 GMT",https://www.bbc.co.uk/news/world-us-canada-58717586?at_medium=RSS&at_campaign=KARANGA
Covid-19: President Joe Biden receives Pfizer booster jab,The US President and other Americans over 65 are now eligible for a third jab of the Pfizer vaccine.,"Mon, 27 Sep 2021 19:42:53 GMT",https://www.bbc.co.uk/news/world-us-canada-58714138?at_medium=RSS&at_campaign=KARANGA
Tony Awards: US TV audience slumps to all-time low,"CBS says 2.6 million people tuned in for Sunday's two-hour special, down from 5.4 million in 2019.","Tue, 28 Sep 2021 11:08:20 GMT",https://www.bbc.co.uk/news/entertainment-arts-58717933?at_medium=RSS&at_campaign=KARANGA
"Infrastructure bill: $1tn for clean energy, internet, trains and more",The $1tn bill takes aim at issues from buckling bridges to global warming and remote working.,"Mon, 27 Sep 2021 20:53:54 GMT",https://www.bbc.co.uk/news/world-us-canada-58152467?at_medium=RSS&at_campaign=KARANGA
Simone Biles says she 'should have quit way before' Tokyo Olympic Games,"Four-time Olympic champion Simone Biles says she ""should have quit way before Tokyo"" after withdrawing from five of her six finals in Japan.","Tue, 28 Sep 2021 07:40:28 GMT",https://www.bbc.co.uk/sport/gymnastics/58716685?at_medium=RSS&at_campaign=KARANGA
Huawei executive Meng Wanzhou freed by Canada arrives home in China,"Two Canadians detained by China are also freed, bringing to an end a three-year diplomatic row.","Sat, 25 Sep 2021 21:04:39 GMT",https://www.bbc.co.uk/news/world-us-canada-58690974?at_medium=RSS&at_campaign=KARANGA
Moulin Rouge! The Musical sweeps Tony Awards,The stage adaptation of the 2001 film wins 10 prizes at celebration of theatre in New York.,"Mon, 27 Sep 2021 10:37:47 GMT",https://www.bbc.co.uk/news/entertainment-arts-58705062?at_medium=RSS&at_campaign=KARANGA
Tuesday teaser: Test your news knowledge,How well do you know the news since the weekend? It's a race against the clock in our new test.,"Tue, 28 Sep 2021 11:02:07 GMT",https://www.bbc.co.uk/news/world-us-canada-58710169?at_medium=RSS&at_campaign=KARANGA
What it's like to be a nine-year-old in a vaccine clinical trial,Fraternal twins Evan and Lizzy are enroled in Pfizer's vaccine trial for children between ages five and 11.,"Mon, 27 Sep 2021 23:09:34 GMT",https://www.bbc.co.uk/news/world-us-canada-58670094?at_medium=RSS&at_campaign=KARANGA
R. Kelly trial: A look at the key moments after star found guilty,The five-week trial heard harrowing details of abuse and assault. Here are the key moments.,"Tue, 28 Sep 2021 10:43:25 GMT",https://www.bbc.co.uk/news/entertainment-arts-58306164?at_medium=RSS&at_campaign=KARANGA
Haitian migrants at US border: 'We've been through 11 countries',Fiterson's hellish seven-year journey through 11 countries explains migrants' desperation at US border.,"Fri, 24 Sep 2021 04:40:54 GMT",https://www.bbc.co.uk/news/world-latin-america-58673578?at_medium=RSS&at_campaign=KARANGA
Why are so many Haitians at the US-Mexico border?,Thousands of migrants are at the Texas-Mexico border. Here's what we know about why they are coming.,"Fri, 24 Sep 2021 15:31:57 GMT",https://www.bbc.co.uk/news/world-us-canada-58667669?at_medium=RSS&at_campaign=KARANGA
Gabby Petito case: The missing Americans you don't hear about,Keen public interest in the Gabby Petito case has renewed the urgency of other missing person cases.,"Fri, 24 Sep 2021 02:06:03 GMT",https://www.bbc.co.uk/news/world-us-canada-58669582?at_medium=RSS&at_campaign=KARANGA
Covid vaccine stockpiles: Could 241m doses go to waste?,Joe Biden wants more global vaccine equality but the US and other nations have not backed promises with action.,"Tue, 21 Sep 2021 22:51:31 GMT",https://www.bbc.co.uk/news/world-us-canada-58640297?at_medium=RSS&at_campaign=KARANGA
The mother and son who waited 58 years for a hug,"Calvin Barrett flies from the US to the UK to meet his ""Ma"" after tracing her through a DNA test.","Tue, 21 Sep 2021 01:27:31 GMT",https://www.bbc.co.uk/news/uk-england-cambridgeshire-58600935?at_medium=RSS&at_campaign=KARANGA
Twitch hate raids: Minority streamers have 'a target on their back',Streamers tell Newsbeat about the targeted hate they get and what they want Twitch to do about it.,"Mon, 20 Sep 2021 23:24:55 GMT",https://www.bbc.co.uk/news/newsbeat-58594732?at_medium=RSS&at_campaign=KARANGA
Angry scenes at Haiti airport as deported migrants arrive,"The US is flying migrants out of a Texas border town where 13,000 have gathered in makeshift camps.","Wed, 22 Sep 2021 21:26:02 GMT",https://www.bbc.co.uk/news/world-latin-america-58650753?at_medium=RSS&at_campaign=KARANGA
Migrants in Texas: US probes horseback charge on Haiti migrants,Images which seem to show border agents on horseback driving migrants back spark an investigation.,"Tue, 21 Sep 2021 09:38:43 GMT",https://www.bbc.co.uk/news/world-us-canada-58637116?at_medium=RSS&at_campaign=KARANGA
Colombia: Migrants risking it all to cross Darien Gap,"It takes up to 20 days, and can be deadly – but everyday hundreds try to cross the border between Panama and Colombia.","Sun, 28 Mar 2021 23:02:19 GMT",https://www.bbc.co.uk/news/world-latin-america-56544700?at_medium=RSS&at_campaign=KARANGA
Covid: Biden to continue Trump's Title 42 migrant expulsions,The White House plans to continue the controversial Title 42 policy to help combat Covid-19.,"Tue, 03 Aug 2021 18:23:35 GMT",https://www.bbc.co.uk/news/world-us-canada-58077311?at_medium=RSS&at_campaign=KARANGA
'Our first day of freedom on American soil',Adrian Meza and his family from Nicaragua have just been released from detention by US border officials.,"Fri, 07 May 2021 23:18:36 GMT",https://www.bbc.co.uk/news/world-us-canada-57022918?at_medium=RSS&at_campaign=KARANGA
'Heartbreaking' conditions in US migrant child camp,An investigation by the BBC has uncovered alarming conditions at a child migrant camp in Texas.,"Wed, 23 Jun 2021 00:51:28 GMT",https://www.bbc.co.uk/news/world-us-canada-57561760?at_medium=RSS&at_campaign=KARANGA
US migrant camp 'kids feel like they're in prison',"More than 2,000 migrant children are being detained in an overcrowded camp in Texas ridden with disease.","Wed, 23 Jun 2021 01:17:39 GMT",https://www.bbc.co.uk/news/world-us-canada-57576306?at_medium=RSS&at_campaign=KARANGA
Mexico: Risking everything for an American dream,Thousands of migrants from Central America are making an arduous journey to the US border.,"Wed, 17 Mar 2021 23:04:07 GMT",https://www.bbc.co.uk/news/world-us-canada-56432363?at_medium=RSS&at_campaign=KARANGA
Children speak of neglect in US asylum camps,"The BBC has uncovered allegations of cold temperatures, sickness, lice and abuse, through a series of interviews with children and staff at US detention camps for children.","Sun, 23 May 2021 23:03:09 GMT",https://www.bbc.co.uk/news/world-us-canada-57149721?at_medium=RSS&at_campaign=KARANGA
Guatemala: Suffocated youth unafraid of a deadly journey,Tougher policies and deaths on the road are unlikely to stop Guatemalans from trying to reach the US.,"Fri, 26 Mar 2021 00:21:32 GMT",https://www.bbc.co.uk/news/world-latin-america-56260568?at_medium=RSS&at_campaign=KARANGA
Immigration: Is US-Mexico border seeing a surge in migrants?,"Donald Trump says migrants are crossing the border like the US ""has never seen"". We've checked the numbers.","Thu, 01 Jul 2021 00:46:03 GMT",https://www.bbc.co.uk/news/57656959?at_medium=RSS&at_campaign=KARANGA
