,title,description,link,plink,pubDate
0,Huawei executive Meng Wanzhou freed by Canada arrives home in China,"Two Canadians detained by China are also freed, bringing to an end a three-year diplomatic row.",https://www.bbc.co.uk/news/world-us-canada-58690974?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58690974,"Sat, 25 Sep 2021 21:04:39 GMT"
1,"Amtrak train derails in Montana, killing three and injuring dozens",Dozens of people are injured after several carriages of the Amtrak train came off the tracks.,https://www.bbc.co.uk/news/world-us-canada-58696143?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58696143,"Sun, 26 Sep 2021 10:15:56 GMT"
2,"Global Citizen Live: Ed Sheeran, Lizzo and Billie Eilish feature in 24-hour concert",The Global Citizen Live festival sees performances from more than 60 artists in six continents.,https://www.bbc.co.uk/news/world-58694304?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-58694304,"Sun, 26 Sep 2021 09:45:00 GMT"
3,Prince Andrew's lawyers accept he was served with US case papers,Virginia Giuffre is claiming damages from Prince Andrew over allegations he sexually assaulted her.,https://www.bbc.co.uk/news/uk-58682356?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/uk-58682356,"Fri, 24 Sep 2021 20:42:59 GMT"
4,One of NYC's poshest buildings facing $250m lawsuit over building defects,A posh building on NYC's Billionaire Row has been facing a series of serious woes.,https://www.bbc.co.uk/news/world-us-canada-58683002?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58683002,"Fri, 24 Sep 2021 16:19:56 GMT"
5,R. Kelly trial: A look at the key moments as jury deliberates,The five-week trial heard harrowing details of abuse and assault. Here are the key moments.,https://www.bbc.co.uk/news/entertainment-arts-58306164?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/entertainment-arts-58306164,"Fri, 24 Sep 2021 19:15:37 GMT"
6,Music company buys NFT of 'Side-eyeing Chloe' meme,The image of two-year-old Chloe Clem making a disapproving face was auctioned in cryptocurrency.,https://www.bbc.co.uk/news/world-us-canada-58687070?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58687070,"Sat, 25 Sep 2021 04:52:40 GMT"
7,Elon Musk says he and partner Grimes are semi-separated,The SpaceX founder said that their work had seen them spending significant amounts of time apart.,https://www.bbc.co.uk/news/world-us-canada-58684724?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58684724,"Fri, 24 Sep 2021 17:26:00 GMT"
8,"Actor Michael K Williams died of accidental drug overdose, coroner confirms","The actor died after overdosing on a combination of fentanyl, p-fluorofentanyl, heroin and cocaine.",https://www.bbc.co.uk/news/world-us-canada-58684726?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58684726,"Sat, 25 Sep 2021 05:00:21 GMT"
9,CIA 'removes Vienna boss' over Havana syndrome outbreak,"The mysterious illness has affected dozens of US personnel in the Austrian capital, US media report.",https://www.bbc.co.uk/news/world-europe-58675144?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-europe-58675144,"Fri, 24 Sep 2021 09:50:17 GMT"
